id;tracking_code;date;details;invoice_id
1;overconfidently;2024-07-08T08:16:42;dehumanise because;1
2;subdued bah;2024-07-08T09:09:05;where soup;2
3;bitter lipid;2024-07-08T03:09:21;from;3
4;hm yahoo;2024-07-08T14:54:12;whenever drat excepting;4
5;excitedly;2024-07-08T02:48:47;afterwards notwithstanding supposing;5
6;reluctantly;2024-07-08T13:56:46;commonly airfare;6
7;adorable terrific synthesis;2024-07-08T05:28:17;pheromone;7
8;oof precious;2024-07-08T10:49:00;interface;8
9;considering;2024-07-08T01:23:58;ugh knowingly;9
10;yellow excepting;2024-07-08T18:40:33;battleship under spat;10
